Федеральные;;;;;;
"ФГБУ ""Научно-исследовательский институт урологии"" МЗ РФ";;;;;;
"ФГБУ ""Российский научный центр рентгенорадиологии"" МЗ РФ";;;;;;
"ФГБУЗ ""Сибирский клинический центр ФМБА""";;;;;;
"ГБОУ ВПО ""Северо-Западный государственный медицинский университет имени И.И.Мечникова"" МЗ РФ";;;;;;
"ФГБУ ""Федеральный центр сердца, крови и эндокринологии имени В.А.Алмазова"" МЗ РФ";;;;;;
"ГБОУ ВПО ""Самарский государственный медицинский университет"" МЗ РФ";;;;;;
"ФГБУ ""Новосибирский научно-исследовательский институт патологии кровообращения имени академика Е.Н.Мешалкина""";;;;;;
"ФГБУЗ ""Уральский научно-исследовательский институт охраны материнства и младенчества"" МЗ РФ";;;;;;
"ФГБУ ""Центральная детская клиническая больница ФМБА""";;;;;;
"ГАУЗ АО ""Городская поликлиника №1""";;189;;;;
"ГБУЗ АО ""Городская поликлиника №2""";;88;;;;
"ГБУЗ АО ""Городская поликлиника №3""";;141;;;;
"ГАУЗ АО ""Городская поликлиника №4""";;119;;;;
"ООО ""АмурМед""";;13;;;;
"НП ""Лечебно-диагностический комплекс ""Белая Роза""";;;;;;
"ООО ""Здоровье""";;;;;;
"ГБУЗ АО ""Свободненская городская поликлиника""";;112;;;;
"НУЗ ""Узловая пол-ка на ст.Завитая ОАО РЖД""";;14;;;;
"НУЗ ""Узловая поликлиника на ст.Магдагачи ОАО РЖД""";;24;;;;
"НУЗ ""Узловая пол-ка на ст.Сковородино ОАО РЖД""";;11;;;;
"НУЗ ""Узловая пол-ка на ст.Ер.Павлович ОАО ""РЖД""";;12;;;;
"НУЗ ""Узловая пол-ка на ст.Шимановская ОАО РЖД""";;12;;;;
"ФКУЗ ""МСЧ УВД по Амурской области""";7;;;;;
"ФГКУ ""411 ВКГ "" Минобороны РФ, г.Белогорск";14;;;;;
"НУЗ ""Отделенческая б-ца на ст.Белогорск ОАО""РЖД""";39;37;;;;
"ООО ""Эндоскопическая хирургия""";48;191;;;;
"НУЗ ""Узловая больница на ст.Юктали ОАО ""РЖД"" ";50;10;;;;
"Свободненская больница ФГБУЗ ""ДВОМЦ ФМБА"" ";52;23;;;;
"ГБУЗ АО ""Ромненская больница""";67;71;;;;
"ГБОУ ВПО ""АГМА"" Министерства здрав. и соц.разв.РФ";88;8;;;;
"ГБУЗ АО""Свободненская стоматологическая поликлиника""";;;;;;
"ГБУЗ АО ""Больница рабочего поселка (пгт) Прогресс""";91;65;;;;
"ГБУЗ АО ""Константиновская больница""";93;72;;;;
"ГБУЗ АО ""Михайловская больница""";94;60;;;;
"НУЗ ""Узловая больница на ст.Февральск ОАО ""РЖД"" ";100;44;;;;
"ГАУЗ АО ""Детская городская клиническая больница""";101;376;;;;
"ГБУЗ АО ""Амурский обл. кож-вен. диспансер""";104;60;;;;
"ГБУЗ АО ""Магдагачинская больница""";106;115;;;;
"ГБУЗ АО ""Завитинская больница""";113;77;;;;
"ГБУЗ АО ""Мазановская  больница""";118;58;;;;
"ФГБУ ""ДНЦ физиологии и патологии дыхания"" Сибирского отделения Российской академии медицинских наук";127;12;;;;
"ГБУЗ АО ""Октябрьская больница""";139;144;;;;
"ГБУЗ АО ""Тамбовская больница""";142;104;;;;
"ГБУЗ АО ""Бурейская больница""";156;139;;;;
"ГБУЗ АО ""Серышевская больница""";160;111;;;;
"ГБУЗ АО ""Шимановская  больница""";161;152;;;;
"ГБУЗ АО ""Сковородинская больница""";164;93;;;;
"ГБУЗ АО ""Селемджинская больница""";177;40;;;;
"ГБУЗ АО ""Архаринская больница""";187;295;;;;
"НУЗ ""Отделенческая больница на ст.Тында ОАО ""РЖД"" ";189;66;;;;
"ГАУЗ АО ""Ивановская больница""";254;137;;;;
"ГБУЗ АО ""Райчихинская городская больница""";279;112;;;;
"ГАУЗ АО ""Тындинская больница""";371;181;;;;
"ГБУЗ АО ""Амурский областной онкодиспансер""";409;95;;;;
"ГАУЗ АО ""Амурская областная инфекционная больница""";609;;;;;
"ГБУЗ АО ""Зейская больница""";637;209;;;;
"ГБУЗ АО ""Свободненская  больница""";652;137;;;;
"ГАУЗ АО ""Белогорская  больница""";697;462;;;;
"ГАУЗ АО ""Амурская областная детская клин. больница""";1263;216;;;;
"ГАУЗ АО ""Благовещенская городская клиническая больница""";1495;144;;;;
"ГАУЗ АО ""Амурская областная клиническая больница""";2018;126;;;;
;;;;;;
;;;;;;
